,Variable,Value,model
28,Évaluation sur les mises à jour de sécurité restantes,Excellent,Apple iPhone 17 Pro 256 Go Bleu
29,Évaluation politique de mise à jour,Excellent,Apple iPhone 17 Pro 256 Go Bleu
30,Format téléphone portable,Moyen,Apple iPhone 17 Pro 256 Go Bleu
31,Hauteur,15 cm,Apple iPhone 17 Pro 256 Go Bleu
32,Largeur,"7,19 cm",Apple iPhone 17 Pro 256 Go Bleu
33,Profondeur,"0,875 cm",Apple iPhone 17 Pro 256 Go Bleu
34,Poids,204 g,Apple iPhone 17 Pro 256 Go Bleu
35,Couleur,Bleu,Apple iPhone 17 Pro 256 Go Bleu
36,Certificat IP,IPX68,Apple iPhone 17 Pro 256 Go Bleu
37,Antichoc,,Apple iPhone 17 Pro 256 Go Bleu
38,Reproduction sonore,Stéréo,Apple iPhone 17 Pro 256 Go Bleu
39,Aimant MagSafe,,Apple iPhone 17 Pro 256 Go Bleu
40,Catégorie de vitesse,Excellent,Apple iPhone 17 Pro 256 Go Bleu
41,Processeur,Puce A19 Pro Bionic,Apple iPhone 17 Pro 256 Go Bleu
42,Capacité totale de stockage,256 Go,Apple iPhone 17 Pro 256 Go Bleu
43,Mémoire vive (RAM),12 Go,Apple iPhone 17 Pro 256 Go Bleu
44,Lecteur de carte mémoire,,Apple iPhone 17 Pro 256 Go Bleu
45,Déverrouillé,,Apple iPhone 17 Pro 256 Go Bleu
46,Double SIM,,Apple iPhone 17 Pro 256 Go Bleu
47,Contenu tiroir carte SIM,Un emplacement carte SIM et un emplacement pour une carte SIM numérique (eSim),Apple iPhone 17 Pro 256 Go Bleu
48,Qualité de la caméra,Excellent,Apple iPhone 17 Pro 256 Go Bleu
49,Nombre d'objectifs de la caméra arrière,3,Apple iPhone 17 Pro 256 Go Bleu
50,Caméra intégrée,,Apple iPhone 17 Pro 256 Go Bleu
51,Nombre total de mégapixels,48 Mpx,Apple iPhone 17 Pro 256 Go Bleu
52,Mise au point automatique,,Apple iPhone 17 Pro 256 Go Bleu
53,Type de mise au point automatique,Détection de phase autofocus,Apple iPhone 17 Pro 256 Go Bleu
54,Fonction vidéo,,Apple iPhone 17 Pro 256 Go Bleu
55,Qualité d'enregistrement vidéo,4K @ 120 fps,Apple iPhone 17 Pro 256 Go Bleu
56,Flash arrière,,Apple iPhone 17 Pro 256 Go Bleu
57,Type d'objectif,Standard,Apple iPhone 17 Pro 256 Go Bleu
58,Type de stabilisation d'image,Stabilisation optique de l'image,Apple iPhone 17 Pro 256 Go Bleu
59,Diaphragme,"1,78",Apple iPhone 17 Pro 256 Go Bleu
60,Type de flash,Dual LED avec True Tone,Apple iPhone 17 Pro 256 Go Bleu
61,Caméra compatible avec la technologie HDR,,Apple iPhone 17 Pro 256 Go Bleu
62,Type de capteur d'image,"1/1.28""",Apple iPhone 17 Pro 256 Go Bleu
63,Deuxième appareil Photo arrière,,Apple iPhone 17 Pro 256 Go Bleu
64,Type objectif appareil photo arrière 2,Grand angle,Apple iPhone 17 Pro 256 Go Bleu
65,Nombre de mégapixels de la deuxième caméra arrière,48 Mpx,Apple iPhone 17 Pro 256 Go Bleu
66,Diaphragme fixe de la deuxième caméra arrière,"2,2",Apple iPhone 17 Pro 256 Go Bleu
67,Type de stabilisation d'image de la deuxième caméra arrière,Pas de stabilisation d'image,Apple iPhone 17 Pro 256 Go Bleu
68,Mise au point automatique deuxième caméra au dos,,Apple iPhone 17 Pro 256 Go Bleu
69,Type autofocus tweede camera achterkant,Détection de phase autofocus,Apple iPhone 17 Pro 256 Go Bleu
70,Fonction zoom optique deuxième caméra au dos,,Apple iPhone 17 Pro 256 Go Bleu
71,Troisième caméra arrière,,Apple iPhone 17 Pro 256 Go Bleu
72,Type d'objectif caméra arrière 3,Téléobjectif,Apple iPhone 17 Pro 256 Go Bleu
73,Nombre de mégapixels troisième caméra arrière,48 Mpx,Apple iPhone 17 Pro 256 Go Bleu
74,Ouverture fixe du diaphragme de la troisième caméra arrière,"2,8",Apple iPhone 17 Pro 256 Go Bleu
75,Mise au point automatique troisième caméra au dos,,Apple iPhone 17 Pro 256 Go Bleu
76,Type autofocus derde camera achterkant,Détection de phase autofocus,Apple iPhone 17 Pro 256 Go Bleu
77,Type de stabilisation optique troisième caméra arrière,Stabilisation d'image optique,Apple iPhone 17 Pro 256 Go Bleu
78,Fonction zoom optique troisième caméra au dos,,Apple iPhone 17 Pro 256 Go Bleu
79,Zoom optique sur la troisième caméra arrière,4,Apple iPhone 17 Pro 256 Go Bleu
80,Quatrième caméra au dos,,Apple iPhone 17 Pro 256 Go Bleu
81,Cinquième appareil photo à l'arrière,,Apple iPhone 17 Pro 256 Go Bleu
82,Caméra avant,,Apple iPhone 17 Pro 256 Go Bleu
83,Type de caméra avant,Dans l'écran,Apple iPhone 17 Pro 256 Go Bleu
84,Nombre de mégapixels appareil photo avant,18 Mpx,Apple iPhone 17 Pro 256 Go Bleu
85,Diaphragme fixe de la caméra avant,"1,9",Apple iPhone 17 Pro 256 Go Bleu
86,Type de stabilisation d'image caméra avant,Stabilisation optique de l'image,Apple iPhone 17 Pro 256 Go Bleu
87,Flash avant,,Apple iPhone 17 Pro 256 Go Bleu
88,Deuxième caméra avant,,Apple iPhone 17 Pro 256 Go Bleu
89,Diagonale de l'écran,"6,3 p",Apple iPhone 17 Pro 256 Go Bleu
90,Screen-to-body-ratio,"93,14 %",Apple iPhone 17 Pro 256 Go Bleu
91,Qualité écran,Excellent,Apple iPhone 17 Pro 256 Go Bleu
92,Pliable,,Apple iPhone 17 Pro 256 Go Bleu
93,Taux de rafraîchissement,120 Hz,Apple iPhone 17 Pro 256 Go Bleu
94,Densité de pixels,460 ppp,Apple iPhone 17 Pro 256 Go Bleu
95,LED de notification,,Apple iPhone 17 Pro 256 Go Bleu
96,Écran tactile,,Apple iPhone 17 Pro 256 Go Bleu
97,Netteté,Super Retina XDR,Apple iPhone 17 Pro 256 Go Bleu
98,Type d'écran,OLED,Apple iPhone 17 Pro 256 Go Bleu
99,Antigriffes,,Apple iPhone 17 Pro 256 Go Bleu
100,Gorilla Glass,,Apple iPhone 17 Pro 256 Go Bleu
101,Coup de pouce pour votre HDR,,Apple iPhone 17 Pro 256 Go Bleu
102,Type HDR,"Dolby Vision, HDR10",Apple iPhone 17 Pro 256 Go Bleu
103,Capacité batterie/pile,3988 mAh,Apple iPhone 17 Pro 256 Go Bleu
104,Fonction charge rapide,,Apple iPhone 17 Pro 256 Go Bleu
105,Type de charge rapide,Power Delivery 3.0,Apple iPhone 17 Pro 256 Go Bleu
106,Batterie chargée en 30 minutes,Entre 51 % et 60 %,Apple iPhone 17 Pro 256 Go Bleu
107,Vitesse de chargement,Moyen,Apple iPhone 17 Pro 256 Go Bleu
108,Puissance filaire charge rapide,40 W,Apple iPhone 17 Pro 256 Go Bleu
109,Recharge sans fil,,Apple iPhone 17 Pro 256 Go Bleu
110,Puissance charge rapide sans fil,25 W,Apple iPhone 17 Pro 256 Go Bleu
111,Pour charger d'autres appareils sans fil,,Apple iPhone 17 Pro 256 Go Bleu
112,Accu/batterie interchangeable,,Apple iPhone 17 Pro 256 Go Bleu
113,Options de connexion internet,4G et 5G,Apple iPhone 17 Pro 256 Go Bleu
114,Wi-Fi intégré,,Apple iPhone 17 Pro 256 Go Bleu
115,Standard Wi-Fi,"Wi-Fi B (Wi-Fi 2), Wi-Fi G (Wi-Fi 3), Wireless A (Wifi 2), Wireless AC (Wi-Fi 5), Wireless AX (Wi-Fi 6), Wireless AXE (Wifi 6E), Wireless B (Wifi 1), Wireless BE (Wifi 7), Wireless N (Wi-Fi 4)",Apple iPhone 17 Pro 256 Go Bleu
116,Bluetooth,,Apple iPhone 17 Pro 256 Go Bleu
117,Version Bluetooth,6.0,Apple iPhone 17 Pro 256 Go Bleu
118,NFC,,Apple iPhone 17 Pro 256 Go Bleu
119,Connexion casque audio,,Apple iPhone 17 Pro 256 Go Bleu
120,Connexion USB,,Apple iPhone 17 Pro 256 Go Bleu
121,Type de port USB,USB-C,Apple iPhone 17 Pro 256 Go Bleu
122,Connexion Lightning,,Apple iPhone 17 Pro 256 Go Bleu
123,Compatible avec Samsung DeX,,Apple iPhone 17 Pro 256 Go Bleu
124,Bouton d'accueil,,Apple iPhone 17 Pro 256 Go Bleu
125,Capteur d'empreintes digitales/identité,,Apple iPhone 17 Pro 256 Go Bleu
126,Reconnaissance faciale,,Apple iPhone 17 Pro 256 Go Bleu
127,Accéléromètre,,Apple iPhone 17 Pro 256 Go Bleu
128,Capteur de lumière,,Apple iPhone 17 Pro 256 Go Bleu
129,Boussole,,Apple iPhone 17 Pro 256 Go Bleu
130,Podomètre,,Apple iPhone 17 Pro 256 Go Bleu
131,Capteur GPS,,Apple iPhone 17 Pro 256 Go Bleu
0,price,"€ 1.329,-",Samsung Galaxy A56 256 Go Noir 5G
1,Format téléphone portable,Moyen,Samsung Galaxy A56 256 Go Noir 5G
2,Qualité de la caméra,Excellent,Samsung Galaxy A56 256 Go Noir 5G
3,Catégorie de vitesse,Excellent,Samsung Galaxy A56 256 Go Noir 5G
4,Qualité écran,Excellent,Samsung Galaxy A56 256 Go Noir 5G
5,Capacité totale de stockage,256 Go,Samsung Galaxy A56 256 Go Noir 5G
6,Vitesse de chargement,Moyen,Samsung Galaxy A56 256 Go Noir 5G
7,Année d'introduction,2025,Samsung Galaxy A56 256 Go Noir 5G
8,Diagonale de l'écran,"6,3 p",Samsung Galaxy A56 256 Go Noir 5G
9,Produit,969442,Samsung Galaxy A56 256 Go Noir 5G
10,Code du fabricant,MG8G4ZD/A,Samsung Galaxy A56 256 Go Noir 5G
11,Marque,Apple,Samsung Galaxy A56 256 Go Noir 5G
12,Garantie,2 ans,Samsung Galaxy A56 256 Go Noir 5G
13,Traitement du défaut,Via Coolblue,Samsung Galaxy A56 256 Go Noir 5G
14,Type de GSM,Smartphone,Samsung Galaxy A56 256 Go Noir 5G
15,Utilisation recommandée,"Gaming, Internet, réseaux sociaux et jeux simples, Passer des appels et WhatsApp, Prendre des photos et faire des vidéos, Regarder des films et des séries, Retouche photo, Utilisation professionnelle",Samsung Galaxy A56 256 Go Noir 5G
16,Bundle comprenant,Pas d'accessoires,Samsung Galaxy A56 256 Go Noir 5G
17,Valeur et catégorie SAT,"1,2 W/kg (D)",Samsung Galaxy A56 256 Go Noir 5G
18,Année d'introduction,2025,Samsung Galaxy A56 256 Go Noir 5G
19,Mois de lancement,Septembre,Samsung Galaxy A56 256 Go Noir 5G
20,Système d'exploitation,iOS,Samsung Galaxy A56 256 Go Noir 5G
21,Version iOS à l'introduction,iOS 26,Samsung Galaxy A56 256 Go Noir 5G
22,Mise à jour vers version iOS possible,iOS 26,Samsung Galaxy A56 256 Go Noir 5G
23,Version iOs la plus récente,,Samsung Galaxy A56 256 Go Noir 5G
24,Le nombre prévu de mises à jour iOS,5,Samsung Galaxy A56 256 Go Noir 5G
25,Évaluation sur le nombre de mises à jour iOS restantes,Excellent,Samsung Galaxy A56 256 Go Noir 5G
26,Fréquence prévue des mises à jour de sécurité,Tous les trimestres,Samsung Galaxy A56 256 Go Noir 5G
27,Date prévue de la dernière mise à jour de sécurité,Septembre 2030,Samsung Galaxy A56 256 Go Noir 5G
28,Évaluation sur les mises à jour de sécurité restantes,Excellent,Samsung Galaxy A56 256 Go Noir 5G
29,Évaluation politique de mise à jour,Excellent,Samsung Galaxy A56 256 Go Noir 5G
30,Format téléphone portable,Moyen,Samsung Galaxy A56 256 Go Noir 5G
31,Hauteur,15 cm,Samsung Galaxy A56 256 Go Noir 5G
32,Largeur,"7,19 cm",Samsung Galaxy A56 256 Go Noir 5G
33,Profondeur,"0,875 cm",Samsung Galaxy A56 256 Go Noir 5G
34,Poids,204 g,Samsung Galaxy A56 256 Go Noir 5G
35,Couleur,Argent,Samsung Galaxy A56 256 Go Noir 5G
36,Certificat IP,IPX68,Samsung Galaxy A56 256 Go Noir 5G
37,Antichoc,,Samsung Galaxy A56 256 Go Noir 5G
38,Reproduction sonore,Stéréo,Samsung Galaxy A56 256 Go Noir 5G
39,Aimant MagSafe,,Samsung Galaxy A56 256 Go Noir 5G
40,Catégorie de vitesse,Excellent,Samsung Galaxy A56 256 Go Noir 5G
41,Processeur,Puce A19 Pro Bionic,Samsung Galaxy A56 256 Go Noir 5G
42,Capacité totale de stockage,256 Go,Samsung Galaxy A56 256 Go Noir 5G
43,Mémoire vive (RAM),12 Go,Samsung Galaxy A56 256 Go Noir 5G
44,Lecteur de carte mémoire,,Samsung Galaxy A56 256 Go Noir 5G
45,Déverrouillé,,Samsung Galaxy A56 256 Go Noir 5G
46,Double SIM,,Samsung Galaxy A56 256 Go Noir 5G
47,Contenu tiroir carte SIM,Un emplacement carte SIM et un emplacement pour une carte SIM numérique (eSim),Samsung Galaxy A56 256 Go Noir 5G
48,Qualité de la caméra,Excellent,Samsung Galaxy A56 256 Go Noir 5G
49,Nombre d'objectifs de la caméra arrière,3,Samsung Galaxy A56 256 Go Noir 5G
50,Caméra intégrée,,Samsung Galaxy A56 256 Go Noir 5G
51,Nombre total de mégapixels,48 Mpx,Samsung Galaxy A56 256 Go Noir 5G
52,Mise au point automatique,,Samsung Galaxy A56 256 Go Noir 5G
53,Type de mise au point automatique,Détection de phase autofocus,Samsung Galaxy A56 256 Go Noir 5G
54,Fonction vidéo,,Samsung Galaxy A56 256 Go Noir 5G
55,Qualité d'enregistrement vidéo,4K @ 120 fps,Samsung Galaxy A56 256 Go Noir 5G
56,Flash arrière,,Samsung Galaxy A56 256 Go Noir 5G
57,Type d'objectif,Standard,Samsung Galaxy A56 256 Go Noir 5G
58,Type de stabilisation d'image,Stabilisation optique de l'image,Samsung Galaxy A56 256 Go Noir 5G
59,Diaphragme,"1,78",Samsung Galaxy A56 256 Go Noir 5G
60,Type de flash,Dual LED avec True Tone,Samsung Galaxy A56 256 Go Noir 5G
61,Caméra compatible avec la technologie HDR,,Samsung Galaxy A56 256 Go Noir 5G
62,Type de capteur d'image,"1/1.28""",Samsung Galaxy A56 256 Go Noir 5G
63,Deuxième appareil Photo arrière,,Samsung Galaxy A56 256 Go Noir 5G
64,Type objectif appareil photo arrière 2,Grand angle,Samsung Galaxy A56 256 Go Noir 5G
65,Nombre de mégapixels de la deuxième caméra arrière,48 Mpx,Samsung Galaxy A56 256 Go Noir 5G
66,Diaphragme fixe de la deuxième caméra arrière,"2,2",Samsung Galaxy A56 256 Go Noir 5G
67,Type de stabilisation d'image de la deuxième caméra arrière,Pas de stabilisation d'image,Samsung Galaxy A56 256 Go Noir 5G
68,Mise au point automatique deuxième caméra au dos,,Samsung Galaxy A56 256 Go Noir 5G
69,Type autofocus tweede camera achterkant,Détection de phase autofocus,Samsung Galaxy A56 256 Go Noir 5G
70,Fonction zoom optique deuxième caméra au dos,,Samsung Galaxy A56 256 Go Noir 5G
71,Troisième caméra arrière,,Samsung Galaxy A56 256 Go Noir 5G
72,Type d'objectif caméra arrière 3,Téléobjectif,Samsung Galaxy A56 256 Go Noir 5G
73,Nombre de mégapixels troisième caméra arrière,48 Mpx,Samsung Galaxy A56 256 Go Noir 5G
74,Ouverture fixe du diaphragme de la troisième caméra arrière,"2,8",Samsung Galaxy A56 256 Go Noir 5G
75,Mise au point automatique troisième caméra au dos,,Samsung Galaxy A56 256 Go Noir 5G
76,Type autofocus derde camera achterkant,Détection de phase autofocus,Samsung Galaxy A56 256 Go Noir 5G
77,Type de stabilisation optique troisième caméra arrière,Stabilisation d'image optique,Samsung Galaxy A56 256 Go Noir 5G
78,Fonction zoom optique troisième caméra au dos,,Samsung Galaxy A56 256 Go Noir 5G
79,Zoom optique sur la troisième caméra arrière,4,Samsung Galaxy A56 256 Go Noir 5G
80,Quatrième caméra au dos,,Samsung Galaxy A56 256 Go Noir 5G
81,Cinquième appareil photo à l'arrière,,Samsung Galaxy A56 256 Go Noir 5G
82,Caméra avant,,Samsung Galaxy A56 256 Go Noir 5G
83,Type de caméra avant,Dans l'écran,Samsung Galaxy A56 256 Go Noir 5G
84,Nombre de mégapixels appareil photo avant,18 Mpx,Samsung Galaxy A56 256 Go Noir 5G
85,Diaphragme fixe de la caméra avant,"1,9",Samsung Galaxy A56 256 Go Noir 5G
86,Type de stabilisation d'image caméra avant,Stabilisation optique de l'image,Samsung Galaxy A56 256 Go Noir 5G
87,Flash avant,,Samsung Galaxy A56 256 Go Noir 5G
88,Deuxième caméra avant,,Samsung Galaxy A56 256 Go Noir 5G
89,Diagonale de l'écran,"6,3 p",Samsung Galaxy A56 256 Go Noir 5G
90,Screen-to-body-ratio,"93,14 %",Samsung Galaxy A56 256 Go Noir 5G
91,Qualité écran,Excellent,Samsung Galaxy A56 256 Go Noir 5G
92,Pliable,,Samsung Galaxy A56 256 Go Noir 5G
93,Taux de rafraîchissement,120 Hz,Samsung Galaxy A56 256 Go Noir 5G
94,Densité de pixels,460 ppp,Samsung Galaxy A56 256 Go Noir 5G
95,LED de notification,,Samsung Galaxy A56 256 Go Noir 5G
96,Écran tactile,,Samsung Galaxy A56 256 Go Noir 5G
97,Netteté,Super Retina XDR,Samsung Galaxy A56 256 Go Noir 5G
98,Type d'écran,OLED,Samsung Galaxy A56 256 Go Noir 5G
99,Antigriffes,,Samsung Galaxy A56 256 Go Noir 5G
100,Gorilla Glass,,Samsung Galaxy A56 256 Go Noir 5G
101,Coup de pouce pour votre HDR,,Samsung Galaxy A56 256 Go Noir 5G
102,Type HDR,"Dolby Vision, HDR10",Samsung Galaxy A56 256 Go Noir 5G
103,Capacité batterie/pile,3988 mAh,Samsung Galaxy A56 256 Go Noir 5G
104,Fonction charge rapide,,Samsung Galaxy A56 256 Go Noir 5G
105,Type de charge rapide,Power Delivery 3.0,Samsung Galaxy A56 256 Go Noir 5G
106,Batterie chargée en 30 minutes,Entre 51 % et 60 %,Samsung Galaxy A56 256 Go Noir 5G
107,Vitesse de chargement,Moyen,Samsung Galaxy A56 256 Go Noir 5G
108,Puissance filaire charge rapide,40 W,Samsung Galaxy A56 256 Go Noir 5G
109,Recharge sans fil,,Samsung Galaxy A56 256 Go Noir 5G
110,Puissance charge rapide sans fil,25 W,Samsung Galaxy A56 256 Go Noir 5G
111,Pour charger d'autres appareils sans fil,,Samsung Galaxy A56 256 Go Noir 5G
112,Accu/batterie interchangeable,,Samsung Galaxy A56 256 Go Noir 5G
113,Options de connexion internet,4G et 5G,Samsung Galaxy A56 256 Go Noir 5G
114,Wi-Fi intégré,,Samsung Galaxy A56 256 Go Noir 5G
115,Standard Wi-Fi,"Wi-Fi B (Wi-Fi 2), Wi-Fi G (Wi-Fi 3), Wireless A (Wifi 2), Wireless AC (Wi-Fi 5), Wireless AX (Wi-Fi 6), Wireless AXE (Wifi 6E), Wireless B (Wifi 1), Wireless BE (Wifi 7), Wireless N (Wi-Fi 4)",Samsung Galaxy A56 256 Go Noir 5G
116,Bluetooth,,Samsung Galaxy A56 256 Go Noir 5G
117,Version Bluetooth,6.0,Samsung Galaxy A56 256 Go Noir 5G
118,NFC,,Samsung Galaxy A56 256 Go Noir 5G
119,Connexion casque audio,,Samsung Galaxy A56 256 Go Noir 5G
120,Connexion USB,,Samsung Galaxy A56 256 Go Noir 5G
121,Type de port USB,USB-C,Samsung Galaxy A56 256 Go Noir 5G
122,Connexion Lightning,,Samsung Galaxy A56 256 Go Noir 5G
123,Compatible avec Samsung DeX,,Samsung Galaxy A56 256 Go Noir 5G
124,Bouton d'accueil,,Samsung Galaxy A56 256 Go Noir 5G
125,Capteur d'empreintes digitales/identité,,Samsung Galaxy A56 256 Go Noir 5G
126,Reconnaissance faciale,,Samsung Galaxy A56 256 Go Noir 5G
127,Accéléromètre,,Samsung Galaxy A56 256 Go Noir 5G
128,Capteur de lumière,,Samsung Galaxy A56 256 Go Noir 5G
129,Boussole,,Samsung Galaxy A56 256 Go Noir 5G
130,Podomètre,,Samsung Galaxy A56 256 Go Noir 5G
131,Capteur GPS,,Samsung Galaxy A56 256 Go Noir 5G
0,price,"€ 1.329,-",Samsung Galaxy A56 256 Go Noir 5G
1,Format téléphone portable,Moyen,Samsung Galaxy A56 256 Go Noir 5G
2,Qualité de la caméra,Excellent,Samsung Galaxy A56 256 Go Noir 5G
3,Catégorie de vitesse,Excellent,Samsung Galaxy A56 256 Go Noir 5G
4,Qualité écran,Excellent,Samsung Galaxy A56 256 Go Noir 5G
5,Capacité totale de stockage,256 Go,Samsung Galaxy A56 256 Go Noir 5G
6,Vitesse de chargement,Moyen,Samsung Galaxy A56 256 Go Noir 5G
7,Année d'introduction,2025,Samsung Galaxy A56 256 Go Noir 5G
8,Diagonale de l'écran,"6,3 p",Samsung Galaxy A56 256 Go Noir 5G
9,Produit,969442,Samsung Galaxy A56 256 Go Noir 5G
10,Code du fabricant,MG8G4ZD/A,Samsung Galaxy A56 256 Go Noir 5G
11,Marque,Apple,Samsung Galaxy A56 256 Go Noir 5G
12,Garantie,2 ans,Samsung Galaxy A56 256 Go Noir 5G
13,Traitement du défaut,Via Coolblue,Samsung Galaxy A56 256 Go Noir 5G
14,Type de GSM,Smartphone,Samsung Galaxy A56 256 Go Noir 5G
15,Utilisation recommandée,"Gaming, Internet, réseaux sociaux et jeux simples, Passer des appels et WhatsApp, Prendre des photos et faire des vidéos, Regarder des films et des séries, Retouche photo, Utilisation professionnelle",Samsung Galaxy A56 256 Go Noir 5G
16,Bundle comprenant,Pas d'accessoires,Samsung Galaxy A56 256 Go Noir 5G
17,Valeur et catégorie SAT,"1,2 W/kg (D)",Samsung Galaxy A56 256 Go Noir 5G
18,Année d'introduction,2025,Samsung Galaxy A56 256 Go Noir 5G
19,Mois de lancement,Septembre,Samsung Galaxy A56 256 Go Noir 5G
20,Système d'exploitation,iOS,Samsung Galaxy A56 256 Go Noir 5G
21,Version iOS à l'introduction,iOS 26,Samsung Galaxy A56 256 Go Noir 5G
22,Mise à jour vers version iOS possible,iOS 26,Samsung Galaxy A56 256 Go Noir 5G
23,Version iOs la plus récente,,Samsung Galaxy A56 256 Go Noir 5G
24,Le nombre prévu de mises à jour iOS,5,Samsung Galaxy A56 256 Go Noir 5G
25,Évaluation sur le nombre de mises à jour iOS restantes,Excellent,Samsung Galaxy A56 256 Go Noir 5G
26,Fréquence prévue des mises à jour de sécurité,Tous les trimestres,Samsung Galaxy A56 256 Go Noir 5G
27,Date prévue de la dernière mise à jour de sécurité,Septembre 2030,Samsung Galaxy A56 256 Go Noir 5G
28,Évaluation sur les mises à jour de sécurité restantes,Excellent,Samsung Galaxy A56 256 Go Noir 5G
29,Évaluation politique de mise à jour,Excellent,Samsung Galaxy A56 256 Go Noir 5G
30,Format téléphone portable,Moyen,Samsung Galaxy A56 256 Go Noir 5G
31,Hauteur,15 cm,Samsung Galaxy A56 256 Go Noir 5G
32,Largeur,"7,19 cm",Samsung Galaxy A56 256 Go Noir 5G
33,Profondeur,"0,875 cm",Samsung Galaxy A56 256 Go Noir 5G
34,Poids,204 g,Samsung Galaxy A56 256 Go Noir 5G
35,Couleur,Argent,Samsung Galaxy A56 256 Go Noir 5G
36,Certificat IP,IPX68,Samsung Galaxy A56 256 Go Noir 5G
37,Antichoc,,Samsung Galaxy A56 256 Go Noir 5G
38,Reproduction sonore,Stéréo,Samsung Galaxy A56 256 Go Noir 5G
39,Aimant MagSafe,,Samsung Galaxy A56 256 Go Noir 5G
40,Catégorie de vitesse,Excellent,Samsung Galaxy A56 256 Go Noir 5G
41,Processeur,Puce A19 Pro Bionic,Samsung Galaxy A56 256 Go Noir 5G
42,Capacité totale de stockage,256 Go,Samsung Galaxy A56 256 Go Noir 5G
43,Mémoire vive (RAM),12 Go,Samsung Galaxy A56 256 Go Noir 5G
44,Lecteur de carte mémoire,,Samsung Galaxy A56 256 Go Noir 5G
45,Déverrouillé,,Samsung Galaxy A56 256 Go Noir 5G
46,Double SIM,,Samsung Galaxy A56 256 Go Noir 5G
47,Contenu tiroir carte SIM,Un emplacement carte SIM et un emplacement pour une carte SIM numérique (eSim),Samsung Galaxy A56 256 Go Noir 5G
48,Qualité de la caméra,Excellent,Samsung Galaxy A56 256 Go Noir 5G
49,Nombre d'objectifs de la caméra arrière,3,Samsung Galaxy A56 256 Go Noir 5G
50,Caméra intégrée,,Samsung Galaxy A56 256 Go Noir 5G
51,Nombre total de mégapixels,48 Mpx,Samsung Galaxy A56 256 Go Noir 5G
52,Mise au point automatique,,Samsung Galaxy A56 256 Go Noir 5G
53,Type de mise au point automatique,Détection de phase autofocus,Samsung Galaxy A56 256 Go Noir 5G
54,Fonction vidéo,,Samsung Galaxy A56 256 Go Noir 5G
55,Qualité d'enregistrement vidéo,4K @ 120 fps,Samsung Galaxy A56 256 Go Noir 5G
56,Flash arrière,,Samsung Galaxy A56 256 Go Noir 5G
57,Type d'objectif,Standard,Samsung Galaxy A56 256 Go Noir 5G
58,Type de stabilisation d'image,Stabilisation optique de l'image,Samsung Galaxy A56 256 Go Noir 5G
59,Diaphragme,"1,78",Samsung Galaxy A56 256 Go Noir 5G
60,Type de flash,Dual LED avec True Tone,Samsung Galaxy A56 256 Go Noir 5G
61,Caméra compatible avec la technologie HDR,,Samsung Galaxy A56 256 Go Noir 5G
62,Type de capteur d'image,"1/1.28""",Samsung Galaxy A56 256 Go Noir 5G
